City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Kangundo,KE,-1.2979,37.3471,60.42,94,100,2.98,moderate rain
338,Picos,BR,-7.0769,-41.4669,72.1,85,90,3.36,overcast clouds
339,Macapa,BR,0.0389,-51.0664,76.98,94,75,2.3,broken clouds
340,Manhattan,US,40.7834,-73.9662,43.18,91,100,10.36,snow
341,Dingle,PH,10.9995,122.6711,79.27,75,92,17.65,overcast clouds
342,Faya,SA,18.3851,42.4509,53.71,85,24,5.03,few clouds
343,Jalu,LY,29.0331,21.5482,49.62,59,14,9.64,few clouds
344,Ziro,IN,27.6333,93.8333,41.74,38,0,2.42,clear sky
345,Boksitogorsk,RU,59.474,33.8485,32.16,96,100,10.33,light snow
346,Katangli,RU,51.7102,143.2326,13.86,93,100,15.84,overcast clouds
